key,scientific_name,species,family,country,year,month,basis_of_record
4255554962,"Cardinalis cardinalis (Linnaeus, 1758)",Cardinalis cardinalis,Cardinalidae,United States of America,2024,12,HUMAN_OBSERVATION
4263820911,"Ramphocelus carbo (Pallas, 1764)",Ramphocelus carbo,Thraupidae,Colombia,2024,12,HUMAN_OBSERVATION
4265269569,"Melospiza melodia (A.Wilson, 1810)",Melospiza melodia,Passerellidae,United States of America,2024,12,HUMAN_OBSERVATION
4270797138,"Pharomachrus auriceps (Gould, 1842)",Pharomachrus auriceps,Trogonidae,Colombia,2024,12,HUMAN_OBSERVATION
4271298145,"Tyrannus melancholicus Vieillot, 1819",Tyrannus melancholicus,Tyrannidae,Colombia,2024,12,HUMAN_OBSERVATION
4271625978,"Thraupis episcopus (Linnaeus, 1766)",Thraupis episcopus,Thraupidae,Colombia,2024,12,HUMAN_OBSERVATION
4280018063,"Cranioleuca subcristata (P.L.Sclater, 1874)",Cranioleuca subcristata,Furnariidae,Colombia,2024,12,HUMAN_OBSERVATION
4285444873,"Poecile atricapillus (Linnaeus, 1766)",Poecile atricapillus,Paridae,United States of America,2024,12,HUMAN_OBSERVATION
4294538459,"Colaptes auratus (Linnaeus, 1758)",Colaptes auratus,Picidae,United States of America,2024,12,HUMAN_OBSERVATION
4298008782,"Turdus leucomelas Vieillot, 1818",Turdus leucomelas,Turdidae,Colombia,2024,12,HUMAN_OBSERVATION
4300172062,"Spinus tristis (Linnaeus, 1758)",Spinus tristis,Fringillidae,United States of America,2024,12,HUMAN_OBSERVATION
4302293096,"Leptopogon superciliaris Tschudi, 1844",Leptopogon superciliaris,Tyrannidae,Colombia,2024,12,HUMAN_OBSERVATION
4311348696,"Spinus psaltria (Say, 1822)",Spinus psaltria,Fringillidae,Colombia,2024,12,HUMAN_OBSERVATION
4322333048,"Melanerpes cruentatus (Boddaert, 1783)",Melanerpes cruentatus,Picidae,Colombia,2024,12,HUMAN_OBSERVATION
4332716808,"Coereba flaveola (Linnaeus, 1758)",Coereba flaveola,Thraupidae,Colombia,2024,12,HUMAN_OBSERVATION
4367671499,"Stilpnia cyanicollis (d'Orbigny & Lafresnaye, 1837)",Stilpnia cyanicollis,Thraupidae,Colombia,2024,12,HUMAN_OBSERVATION
4369409743,"Rupornis magnirostris (Gmelin, 1788)",Rupornis magnirostris,Accipitridae,Colombia,2024,12,HUMAN_OBSERVATION
4370025729,"Myiozetetes cayanensis (Linnaeus, 1766)",Myiozetetes cayanensis,Tyrannidae,Colombia,2024,12,HUMAN_OBSERVATION
4370419575,"Cissopis leverianus (J.F.Gmelin, 1788)",Cissopis leverianus,Thraupidae,Colombia,2024,12,HUMAN_OBSERVATION
